C2H2_14r176, C[0], C[1], H[2], H[3], 
Y Velocity[A/fs],-0.00106779, 0.000250793, 0.0358757, -0.0249651,  
Z Velocity[A/fs],-0.00148536, 0.00850208, 0.121517, -0.121306,  
Speed[A/fs],0.161208, 0.156189, 0.81643, 0.799791, 

C2H2_14r39, C[0], C[1], H[2], H[3], 
Densities, 1.774114186397579, 1.889153911423694, 0.001043060091847589, 9.830106234879443e-05, 
Time[fs], 62.500000, 62.500000, 26.500000, 26.500000, 
Density Sum, 3.664409458975469
X Velocity[A/fs], -0.163548, 0.161515, -0.801336, 0.799349,  
Y Velocity[A/fs],0.00507034, -7.07294e-05, -0.0385921, -0.0418881,  
Z Velocity[A/fs],-0.00221175, 0.00452241, -0.109458, 0.098406,  
Speed[A/fs],0.163642, 0.161579, 0.809698, 0.806472, 

C2H2_14r5, C[0], C[1], H[2], H[3], 
Densities, 2.212930184384414, 1.460211229896393, 0.0007242691110351427, 5.072306687270968e-05, 
Time[fs], 66.000000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.673916406458715
X Velocity[A/fs], -0.149806, 0.160983, -0.78992, 0.813724,  
Y Velocity[A/fs],-0.00219815, 0.000537325, 0.0543908, -0.0707349,  
Z Velocity[A/fs],-0.00416489, 0.0049098, 0.0598064, -0.0734419,  
Speed[A/fs],0.14988, 0.161058, 0.794046, 0.820088, 

C2H2_14r170, C[0], C[1], H[2], H[3], 
Densities, 1.923030854807615, 1.755168786781534, 0.0006824577974504961, 6.195048206315678e-05, 
Time[fs], 64.500000, 63.500000, 26.500000, 26.500000, 
Density Sum, 3.678944049868663
X Velocity[A/fs], -0.156958, 0.15786, -0.785437, 0.799498,  
Y Velocity[A/fs],-0.00839756, -0.00574017, 0.104929, -0.109645,  
Z Velocity[A/fs],-0.00797135, 0.00253019, 0.0685684, 0.0299017,  
Speed[A/fs],0.157385, 0.157984, 0.795376, 0.807535, 

C2H2_14r171, C[0], C[1], H[2], H[3], 
Densities, 1.847332947859035, 1.84180525113344, 0.0009573367622481878, 8.646505595445013e-05, 
Time[fs], 63.500000, 63.500000, 26.500000, 26.500000, 
Density Sum, 3.690182000810678
X Velocity[A/fs], -0.159045, 0.158881, -0.795774, 0.806688,  
Y Velocity[A/fs],-0.000732401, -0.00380479, 0.0445866, 0.0328375,  
Z Velocity[A/fs],0.00272989, -0.00229338, -0.0927686, 0.0748782,  
Speed[A/fs],0.15907, 0.158943, 0.802403, 0.810821, 

C2H2_14r158, C[0], C[1], H[2], H[3], 
Densities, 2.214016903853819, 1.478475771350104, 0.000487027242241232, 5.067676375330261e-05, 
Time[fs], 62.000000, 67.000000, 26.500000, 26.500000, 
Density Sum, 3.693030379209918
X Velocity[A/fs], -0.162133, 0.149146, -0.795222, 0.80494,  
Y Velocity[A/fs],0.00314261, 0.0023338, -0.0726049, -0.0220701,  
Z Velocity[A/fs],-0.00221553, 0.0020304, -0.0704222, -0.0283608,  
Speed[A/fs],0.162178, 0.149178, 0.801629, 0.805742, 

C2H2_14r69, C[0], C[1], H[2], H[3], 
Densities, 1.910079748526316, 1.74760339638404, 0.0009453205991408436, 9.05155435011239e-05, 
Time[fs], 62.500000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.658718981052998
X Velocity[A/fs], -0.162234, 0.159221, -0.805583, 0.808466,  
Y Velocity[A/fs],0.00332739, 0.00190299, -0.0525763, -0.0325987,  
Z Velocity[A/fs],-0.00334242, -0.00100632, 0.0761345, -0.0649404,  
Speed[A/fs],0.162303, 0.159235, 0.810879, 0.811725, 

C2H2_14r131, C[0], C[1], H[2], H[3], 
Densities, 2.340518908434381, 1.289657999914041, 0.000895452128553882, 4.836668699180677e-05, 
Time[fs], 64.000000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.631120727163968
X Velocity[A/fs], -0.155666, 0.162645, -0.800202, 0.811953,  
Y Velocity[A/fs],-0.00373204, 0.000203591, -0.0214834, 0.0646849,  
Z Velocity[A/fs],0.0050982, 0.00030935, -0.0615907, 0.0629609,  
Speed[A/fs],0.155794, 0.162645, 0.802857, 0.816955, 

C2H2_14r113, C[0], C[1], H[2], H[3], 
Densities, 2.333724097082817, 1.331842138587653, 0.0008116003762379178, 5.971999102060038e-05, 
Time[fs], 64.000000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.666437556037728
X Velocity[A/fs], -0.155045, 0.16209, -0.788059, 0.798815,  
Y Velocity[A/fs],0.00298048, 0.00480366, 0.0892625, -0.0825662,  
Z Velocity[A/fs],-0.00166942, -0.0033413, -0.0879169, 0.10795,  
Speed[A/fs],0.155082, 0.162196, 0.797956, 0.810293, 

C2H2_14r91, C[0], C[1], H[2], H[3], 
Densities, 2.237189833600528, 1.415223811539239, 0.0007139968385418671, 6.255342596448693e-05, 
Time[fs], 64.500000, 63.500000, 26.500000, 26.500000, 
Density Sum, 3.653190195404274
X Velocity[A/fs], -0.1544, 0.159521, -0.792765, 0.814373,  
Y Velocity[A/fs],0.00372896, 0.00565918, -0.0545181, -0.055466,  
Z Velocity[A/fs],-0.00427122, -0.00372165, 0.0817329, -0.0616284,  
Speed[A/fs],0.154504, 0.159665, 0.79883, 0.818582, 

C2H2_14r185, C[0], C[1], H[2], H[3], 
Densities, 2.082237027511863, 1.572627048865448, 0.0008421019747980578, 9.051770724733929e-05, 
Time[fs], 62.000000, 64.500000, 26.500000, 26.500000, 
Density Sum, 3.655796696059356
X Velocity[A/fs], -0.162889, 0.157578, -0.801005, 0.811862,  
Y Velocity[A/fs],-0.000272715, -0.00291689, 0.0569437, -0.0524605,  
Z Velocity[A/fs],0.00215322, 0.0003941, -0.0892527, 0.062221,  
Speed[A/fs],0.162903, 0.157606, 0.807971, 0.815931, 

C2H2_14r90, C[0], C[1], H[2], H[3], 
Densities, 1.915639217171912, 1.76101055886598, 0.00072892989816006, 3.389788799350049e-05, 
Time[fs], 63.000000, 64.000000, 26.500000, 26.500000, 
Density Sum, 3.677412603824045
X Velocity[A/fs], -0.161634, 0.155784, -0.800121, 0.796038,  
Y Velocity[A/fs],-0.000236247, -0.00319192, 0.0331361, 0.0685091,  
Z Velocity[A/fs],-0.00502221, 0.00455428, -0.060706, -0.042116,  
Speed[A/fs],0.161712, 0.155884, 0.803104, 0.80009, 

C2H2_14r177, C[0], C[1], H[2], H[3], 
Densities, 1.971881413435915, 1.679872083171668, 0.0008621148771192645, 8.815681707551271e-05, 
Time[fs], 63.000000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.652703768301778
X Velocity[A/fs], -0.161837, 0.160541, -0.799975, 0.802289,  
Y Velocity[A/fs],-0.00155452, -0.000334049, -0.0665875, 0.0694529,  
Z Velocity[A/fs],0.00238656, -0.00358123, -0.0866888, 0.0990058,  
Speed[A/fs],0.161862, 0.160582, 0.807409, 0.811353, 

C2H2_14r191, C[0], C[1], H[2], H[3], 
Densities, 2.087417363679327, 1.609999716355871, 0.0005731912312200475, 4.693231140259711e-05, 
Time[fs], 65.500000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.69803720357782
X Velocity[A/fs], -0.151444, 0.160427, -0.788212, 0.800296,  
Y Velocity[A/fs],0.00190346, -0.0021469, 0.0817019, -0.0930821,  
Z Velocity[A/fs],-0.000779746, 0.0116222, 0.012367, 0.0936474,  
Speed[A/fs],0.151458, 0.160862, 0.792531, 0.811115, 

C2H2_14r128, C[0], C[1], H[2], H[3], 
Densities, 1.739422681149521, 2.023582246075279, 0.0005296944219940377, 8.10697588801182e-05, 
Time[fs], 66.000000, 65.500000, 26.500000, 26.500000, 
Density Sum, 3.763615691405675
X Velocity[A/fs], -0.150264, 0.151785, -0.791463, 0.794354,  
Y Velocity[A/fs],-0.000244209, -0.00216755, -0.0235666, 0.0531999,  
Z Velocity[A/fs],0.00185722, 0.00024867, 0.0551518, -0.0558727,  
Speed[A/fs],0.150275, 0.1518, 0.793733, 0.798092, 

C2H2_14r63, C[0], C[1], H[2], H[3], 
Densities, 1.9149397900091, 1.669496123839399, 0.0007020711511585177, 3.187623278070854e-05, 
Time[fs], 61.000000, 62.000000, 26.500000, 26.500000, 
Density Sum, 3.585169861232439
X Velocity[A/fs], -0.16764, 0.16534, -0.807467, 0.808223,  
Y Velocity[A/fs],0.0024639, 0.00267714, 0.0953776, -0.0922161,  
Z Velocity[A/fs],0.00436967, 0.00088371, 0.0630572, -0.060617,  
Speed[A/fs],0.167715, 0.165364, 0.815522, 0.815723, 

C2H2_14r38, C[0], C[1], H[2], H[3], 
Densities, 1.714120804140817, 1.909787245719934, 0.0008754538952128946, 5.476249371207062e-05, 
Time[fs], 63.500000, 61.000000, 26.500000, 26.500000, 
Density Sum, 3.624838266249676
X Velocity[A/fs], -0.157365, 0.168174, -0.807195, 0.810006,  
Y Velocity[A/fs],-0.00585945, 0.00262105, -0.0174464, 0.0472174,  
Z Velocity[A/fs],-0.000684968, 0.00836917, 0.00114617, -0.0909544,  
Speed[A/fs],0.157476, 0.168403, 0.807384, 0.816463, 

C2H2_14r33, C[0], C[1], H[2], H[3], 
Densities, 1.827202467098429, 1.813653433786738, 0.001122098839477253, 0.0001319462643196581, 
Time[fs], 63.000000, 62.000000, 26.500000, 26.500000, 
Density Sum, 3.642109945988964
X Velocity[A/fs], -0.160584, 0.165467, -0.80237, 0.809986,  
Y Velocity[A/fs],0.00734781, 0.00526835, 0.107922, -0.0934627,  
Z Velocity[A/fs],0.000572596, 0.00488522, 0.00880023, -0.0603215,  
Speed[A/fs],0.160753, 0.165623, 0.809643, 0.817589, 

C2H2_14r81, C[0], C[1], H[2], H[3], 
Densities, 1.971407927159571, 1.768401568331578, 0.0004180126894105822, 8.790965747700225e-05, 
Time[fs], 66.000000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.740315417838037
X Velocity[A/fs], -0.150343, 0.161115, -0.786771, 0.800234,  
Y Velocity[A/fs],0.00360969, 0.00548698, 0.057163, -0.103498,  
Z Velocity[A/fs],0.00392679, 0.00304853, -0.0489748, -0.0566207,  
Speed[A/fs],0.150437, 0.161237, 0.790364, 0.808883, 

C2H2_14r109, C[0], C[1], H[2], H[3], 
Densities, 2.280832238721525, 1.357383397110553, 0.001014780614259825, 8.388432985269228e-05, 
Time[fs], 64.000000, 62.000000, 26.500000, 26.500000, 
Density Sum, 3.63931430077619
X Velocity[A/fs], -0.15412, 0.163743, -0.801384, 0.805639,  
Y Velocity[A/fs],0.000816428, 0.0018361, 0.0395792, 0.0542045,  
Z Velocity[A/fs],0.00388035, 0.00361484, 0.0306068, -0.0924211,  
Speed[A/fs],0.154171, 0.163793, 0.802944, 0.812732, 

C2H2_14r40, C[0], C[1], H[2], H[3], 
Densities, 1.847198694135077, 1.775787889615347, 0.0006985075565601168, 0.0001051602928558533, 
Time[fs], 60.500000, 62.000000, 26.500000, 26.500000, 
Density Sum, 3.623790251599841
